Protocol file: C:\HelixGen\Protocols\CYP2C19.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
36,-890328,-172804,-1008310,-1231124,-2110598,-1210296,-1376971,-963563,-381798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,-891996,-171398,-1022403,-1228313,-2123498,-1220138,-1384285,-973764,-379019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,-888325,-173003,-1021708,-1230322,-2136486,-1233320,-1398127,-981981,-379208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,-892773,-172726,-1030605,-1229374,-2133652,-1245914,-1411322,-986490,-380883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,-894128,-170114,-1034472,-1228324,-2143522,-1265392,-1411783,-1001629,-380552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,-890144,-172524,-1041276,-1225307,-2146434,-1272398,-1420677,-1007512,-379358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
42,-887914,-172699,-1047469,-1222418,-2144935,-1274172,-1438528,-1009619,-381160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
43,-887911,-168637,-1050714,-1227179,-2125760,-1283418,-1439772,-1021825,-379821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,-891382,-172592,-1050773,-1230878,-2129190,-1292414,-1452624,-1021225,-378709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
45,-901727,-171427,-1044159,-1241765,-2118562,-1294584,-1442194,-1023337,-377299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
