Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/17/2017 11:53:37 AM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps
"2017-05-17 11:53:37.530",0,25,25.935,25,26.254,0,0,25,26.271,0,0
"2017-05-17 11:53:38.388",0.8579741,25,25.935,95,26.277,100,4.764,95,26.274,100,5.046
"2017-05-17 11:53:39.287",1.7575265,25,25.935,95,28.412,100,4.534,95,27.138,100,4.64
"2017-05-17 11:53:39.974",2.4439549,25,25.935,95,33.101,100,4.393,95,30.352,100,4.569
"2017-05-17 11:53:40.492",2.9620041,25,25.935,95,37.673,100,4.287,95,33.772,100,4.393
"2017-05-17 11:53:40.964",3.4340677,25,25.935,95,41.823,100,4.217,95,37.686,100,4.305
"2017-05-17 11:53:41.489",3.9593489,25,25.935,95,46.108,100,4.146,95,42.003,100,4.217
"2017-05-17 11:53:41.968",4.4382162,25,25.935,95,50.253,100,4.075,95,46.426,100,4.128
"2017-05-17 11:53:42.483",4.953632,25,25.935,95,54.299,100,4.005,95,50.808,100,4.058
"2017-05-17 11:53:42.955",5.4249711,25,25.935,95,58.566,100,3.934,95,54.903,100,3.987
"2017-05-17 11:53:43.496",5.9658634,25,25.935,95,63.083,100,3.864,95,59.302,100,3.917
"2017-05-17 11:53:43.965",6.4348115,25,25.935,95,67.491,100,3.811,95,63.956,100,3.864
"2017-05-17 11:53:44.486",6.9564238,25,25.935,95,71.804,100,3.758,95,68.562,100,3.793
"2017-05-17 11:53:44.955",7.4255992,25,25.935,95,75.964,100,3.705,95,73,100,3.74
"2017-05-17 11:53:45.493",7.9630334,25,25.935,95,80.055,100,3.652,95,77.299,100,3.687
"2017-05-17 11:53:45.961",8.4317698,25,25.935,95,83.947,100,3.599,95,81.427,100,3.634
"2017-05-17 11:53:46.499",8.9693329,25,25.935,95,87.766,100,3.546,95,85.455,100,3.581
"2017-05-17 11:53:46.978",9.4486511,25,25.935,95,91.443,100,3.511,95,89.256,100,3.528
"2017-05-17 11:53:47.490",9.960297,25,25.934,95,95.003,0,0,95,92.926,0,0
"2017-05-17 11:53:47.959",10.4295561,25,25.932,95,98.262,0,0,95,96.36,0,0
"2017-05-17 11:53:48.491",10.9608291,25,25.93,95,100.606,0,0,95,99.217,0,0
"2017-05-17 11:53:48.959",11.4293739,25,25.928,95,101.911,0,0,95,100.93,0,0
"2017-05-17 11:53:49.498",11.9681112,25,25.926,95,102.419,0,0,95,101.709,0,0
"2017-05-17 11:53:49.972",12.4425112,25,25.925,95,102.337,0,0,95,101.772,0,0
"2017-05-17 11:53:50.488",12.9578884,25,25.924,95,101.855,0,0,95,101.35,0,0
"2017-05-17 11:53:50.951",13.4213173,25,25.923,95,101.099,0,0,95,100.596,0,0
"2017-05-17 11:53:51.616",14.0863417,25,25.923,95,100.177,8.9,0.335,95,99.226,19.8,0.794
"2017-05-17 11:53:52.213",14.683536,25,25.923,95,98.495,26.9,1.076,95,97.98,30,1.182
"2017-05-17 11:53:52.681",15.1512152,25,25.923,95,97.748,19.3,0.829,95,97.268,26.1,0.882
"2017-05-17 11:53:53.320",15.7903717,25,25.923,95,96.944,11.8,0.476,95,96.495,18.9,0.635
"2017-05-17 11:53:53.918",16.3877871,25,25.923,95,96.479,12.4,0.441,95,95.831,18.1,0.723
"2017-05-17 11:53:54.615",17.0853157,25,25.923,95,95.748,22.1,0.952,95,95.189,24.7,0.988
"2017-05-17 11:53:55.083",17.5528796,25,25.923,95,95.28,22,0.917,95,94.849,26.1,0.935
"2017-05-17 11:53:55.621",18.091698,25,25.923,95,94.831,19.6,0.776,95,94.42,24.7,0.97
"2017-05-17 11:53:56.217",18.6875467,25,25.923,95,94.618,15.9,0.688,95,94.11,24.8,0.988
"2017-05-17 11:53:56.682",19.1519003,25,25.923,95,94.368,18.5,0.741,95,93.94,22.9,0.935
"2017-05-17 11:53:57.315",19.784871,25,25.923,95,94.154,21.9,0.882,95,93.692,24.8,1.005
"2017-05-17 11:53:57.778",20.2486638,25,25.923,95,93.901,25,0.882,95,93.499,25.7,0.988
"2017-05-17 11:53:58.481",20.9515171,25,25.923,95,93.736,21.6,0.864,95,93.297,23.2,1.058
"2017-05-17 11:53:59.208",21.6781296,25,25.923,95,93.551,20.5,0.829,95,93.155,25.2,1.041
"2017-05-17 11:53:59.807",22.2777214,25,25.923,95,93.415,21.9,0.882,95,93.021,26.9,1.076
"2017-05-17 11:54:00.318",22.7883389,25,25.923,95,93.32,23,0.917,95,92.923,25.8,1.093
"2017-05-17 11:54:00.910",23.3807179,25,25.923,95,93.226,23,0.917,95,92.833,25,0.988
"2017-05-17 11:54:01.613",24.0830589,25,25.923,95,93.169,20.8,0.829,95,92.759,26.4,1.041
"2017-05-17 11:54:02.204",24.6746954,25,25.923,95,93.103,22.1,0.882,95,92.696,27.4,1.093
"2017-05-17 11:54:02.800",25.2703462,25,25.923,95,93.059,22.5,0.899,95,92.647,25.5,1.005
"2017-05-17 11:54:03.632",26.1017928,25,25.923,95,93,22.4,0.882,95,92.602,24.5,0.97
"2017-05-17 11:54:04.238",26.7080853,25,25.923,95,92.965,20.9,0.829,95,92.56,26.6,1.058
"2017-05-17 11:54:04.706",27.1764385,25,25.923,95,92.955,22,0.882,95,92.538,25.8,1.023
"2017-05-17 11:54:05.351",27.8216513,25,25.923,95,92.933,23,0.935,95,92.524,23.3,0.917
"2017-05-17 11:54:05.958",28.4280533,25,25.923,95,92.91,20.2,0.811,95,92.503,27.2,1.076
"2017-05-17 11:54:06.623",29.0936431,25,25.923,95,92.901,21.7,0.882,95,92.483,25,0.988
"2017-05-17 11:54:07.093",29.5628545,25,25.923,95,92.892,21,0.846,95,92.48,24.4,1.005
"2017-05-17 11:54:07.630",30.1000303,25,25.922,95,92.889,20.2,0.811,95,92.481,24.2,0.952
"2017-05-17 11:54:08.094",30.5643249,25,25.921,95,92.886,20.8,0.864,95,92.478,25.4,1.058
"2017-05-17 11:54:08.690",31.1606576,25,25.92,95,92.886,19.8,0.811,95,92.475,24.9,1.023
"2017-05-17 11:54:09.155",31.6247947,25,25.919,95,92.883,22.3,0.899,95,92.461,26.2,1.041
"2017-05-17 11:54:09.760",32.230599,25,25.916,95,92.885,20.9,0.846,95,92.46,25.5,1.005
"2017-05-17 11:54:10.463",32.9335101,25,25.913,95,92.877,21.8,0.882,95,92.469,24.3,0.97
"2017-05-17 11:54:11.061",33.5308189,25,25.912,95,92.884,22.1,0.899,95,92.469,25.6,1.023
"2017-05-17 11:54:11.635",34.1055241,25,25.911,95,92.887,21.7,0.882,95,92.47,26.2,1.041
