MeltCurveTemperature, Site1, Site2, Site3, Site4
49.6829986572266,0,0,4606127,0
49.5460014343262,0,0,4536206,0
49.7080001831055,0,0,4496032,0
50.0060005187988,0,0,4467145,0
50.314998626709,0,0,4446295,0
50.6349983215332,0,0,4427017,0
50.943000793457,0,0,4406143,0
51.2669982910156,0,0,4390654,0
51.5699996948242,0,0,4376348,0
51.8800010681152,0,0,4361149,0
52.1969985961914,0,0,4348735,0
52.5099983215332,0,0,4335814,0
52.8370018005371,0,0,4321438,0
53.1529998779297,0,0,4311288,0
53.4879989624023,0,0,4299617,0
53.8310012817383,0,0,4287387,0
54.1759986877441,0,0,4277207,0
54.5320014953613,0,0,4265836,0
54.8790016174316,0,0,4255427,0
55.2319984436035,0,0,4243244,0
55.5890007019043,0,0,4236054,0
55.943000793457,0,0,4224808,0
56.2879981994629,0,0,4205093,0
56.806999206543,0,0,4203709,0
57.1619987487793,0,0,4195757,0
57.5180015563965,0,0,4185877,0
57.8759994506836,0,0,4179237,0
58.2290000915527,0,0,4170084,0
58.5979995727539,0,0,4160319,0
58.951000213623,0,0,4150797,0
59.3050003051758,0,0,4143368,0
59.6599998474121,0,0,4131155,0
60.0149993896484,0,0,4122746,0
60.3740005493164,0,0,4112852,0
60.7410011291504,0,0,4106957,0
61.0989990234375,0,0,4095133,0
61.4490013122559,0,0,4088361,0
61.7960014343262,0,0,4077956,0
62.148998260498,0,0,4070525,0
62.5110015869141,0,0,4063123,0
62.8689994812012,0,0,4056793,0
63.2190017700195,0,0,4048703,0
63.5730018615723,0,0,4040848,0
63.9329986572266,0,0,4032175,0
64.286003112793,0,0,4024659,0
64.6370010375977,0,0,4018808,0
64.9909973144531,0,0,4008816,0
65.5199966430664,0,0,3992688,0
65.8690032958984,0,0,3990140,0
66.2210006713867,0,0,3985760,0
66.5810012817383,0,0,3980653,0
66.931999206543,0,0,3970474,0
67.2809982299805,0,0,3962838,0
67.6380004882813,0,0,3958473,0
67.995002746582,0,0,3951024,0
68.3499984741211,0,0,3945135,0
68.713996887207,0,0,3938948,0
69.0770034790039,0,0,3930289,0
69.4369964599609,0,0,3925199,0
69.7969970703125,0,0,3920458,0
70.1569976806641,0,0,3913576,0
70.515998840332,0,0,3904255,0
70.8690032958984,0,0,3899080,0
71.234001159668,0,0,3891543,0
71.5790023803711,0,0,3884701,0
71.9339981079102,0,0,3876836,0
72.286003112793,0,0,3869922,0
72.6309967041016,0,0,3865408,0
72.9860000610352,0,0,3861854,0
73.3420028686523,0,0,3853651,0
73.6900024414063,0,0,3848372,0
74.0479965209961,0,0,3841846,0
74.390998840332,0,0,3835448,0
74.75,0,0,3829968,0
