Protocol file: C:\HelixGen\Protocols\Protocol_pcr -temp3.xml
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,0,0,0,0,0,0,0,0,5547807,6951380,6755880,7589021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.5,0,0,0
2,0,0,0,0,0,0,0,0,5565235,6953302,6759456,7596099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
3,0,0,0,0,0,0,0,0,5573622,6954860,6784044,7583621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
4,0,0,0,0,0,0,0,0,5585582,6955979,6783548,7592309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
5,0,0,0,0,0,0,0,0,5589666,6959053,6787279,7598963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
6,0,0,0,0,0,0,0,0,5587897,6958072,6807180,7579120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0
7,0,0,0,0,0,0,0,0,5570975,6961124,6816017,7589408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
8,0,0,0,0,0,0,0,0,5586366,6960916,6829338,7593987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
9,0,0,0,0,0,0,0,0,5587026,6961504,6850777,7601364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
10,0,0,0,0,0,0,0,0,5586389,6956941,6891055,7572664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
11,0,0,0,0,0,0,0,0,5584310,6961671,6936629,7585172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
12,0,0,0,0,0,0,0,0,5592177,6961616,6985749,7592512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
13,0,0,0,0,0,0,0,0,5585067,6958977,7038073,7599481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
14,0,0,0,0,0,0,0,0,5588741,6960344,7115915,7590444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
15,0,0,0,0,0,0,0,0,5593898,6960677,7164607,7592744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
16,0,0,0,0,0,0,0,0,5594251,6957710,7204323,7605806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.25,0,0,0
17,0,0,0,0,0,0,0,0,5591849,6956932,7222638,7619512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
18,0,0,0,0,0,0,0,0,5585665,6960155,7236818,7667459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.75,0,0,0
19,0,0,0,0,0,0,0,0,5584206,6960112,7261869,7725369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0
