MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
,2616344,2517622,2464441,2611646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2500,2515704,2463448,2612404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2500,2515704,2463448,2612404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2559538,2463468,2401748,2561610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2565638,2471143,2407974,2566888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2571789,2477050,2415560,2572975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2575357,2482100,2419611,2578088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2579231,2485351,2422194,2582783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2583074,2489830,2425405,2583895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2585449,2491428,2430772,2588890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2590219,2494609,2433411,2591427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2590814,2498904,2436539,2590978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2590896,2500755,2438961,2596471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2596220,2502366,2439677,2597362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2596934,2505063,2440912,2597486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2596705,2505016,2444918,2600266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2599515,2506274,2444033,2601679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2600784,2508054,2446986,2600567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2600053,2510125,2447658,2603155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2602691,2509799,2447990,2604364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2603443,2511134,2449000,2605247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2602329,2511289,2450925,2606207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2604855,2511109,2449545,2607655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2604358,2512423,2448802,2605560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2604410,2513079,2452252,2607744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2605427,2512720,2451258,2608834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2605903,2514488,2451340,2607794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2605720,2515844,2453684,2609152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2606960,2514291,2453527,2609815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2608361,2516048,2453563,2610654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2607478,2516657,2454976,2609745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2607972,2515442,2454605,2610935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2608468,2517100,2454711,2609882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2607509,2516457,2455289,2611304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2607801,2516079,2455660,2612835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2610154,2516996,2454958,2612445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2608081,2517062,2455672,2611504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2607909,2518579,2456547,2612873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609552,2517673,2455154,2612207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2608853,2519770,2456159,2611635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2608607,2517576,2456949,2612615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2610032,2517994,2455915,2612436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609430,2519090,2457037,2612775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609703,2518043,2456983,2613525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2610597,2518998,2457728,2614077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609652,2520214,2459090,2612621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2610305,2519168,2458093,2614127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2611195,2518509,2457583,2613857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609614,2519914,2458150,2613355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609390,2518198,2458836,2613809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2611029,2520083,2457856,2613418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609848,2520108,2456360,2613136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2609311,2519601,2458380,2614418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2610848,2519286,2457816,2615069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2611016,2520614,2459044,2613221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2611240,2520863,2458261,2613364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2612099,2519413,2458472,2614933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2612151,2518905,2456995,2613162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
