Protocol file: C:\HelixGen\Protocols\Protocol_111.xml
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
1,0,0,0,0,0,0,0,0,6222194,5014221,6645425,7437312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.75,0,0,0
2,0,0,0,0,0,0,0,0,6067290,5571833,6557452,7440899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0,0
3,0,0,0,0,0,0,0,0,5992891,5556771,6533748,7414636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,0,0
4,0,0,0,0,0,0,0,0,6060125,5542300,6526159,7417673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
5,0,0,0,0,0,0,0,0,6033782,5549477,6534965,7417653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
6,0,0,0,0,0,0,0,0,6032573,5558526,6535796,7445021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
7,0,0,0,0,0,0,0,0,6026369,5586326,6545616,7474423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
8,0,0,0,0,0,0,0,0,6036498,5587115,6544965,7485109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
9,0,0,0,0,0,0,0,0,6072919,5588515,6543856,7482064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
10,0,0,0,0,0,0,0,0,6061745,5590851,6541942,7469015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
11,0,0,0,0,0,0,0,0,6033360,5588453,6538375,7440027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
12,0,0,0,0,0,0,0,0,6067120,5581163,6535009,7445247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.75,0,0,0
13,0,0,0,0,0,0,0,0,6038996,5581739,6533129,7444020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
14,0,0,0,0,0,0,0,0,6057483,5582804,6533070,7466400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
15,0,0,0,0,0,0,0,0,6053622,5583793,6532815,7472249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.25,0,0,0
16,0,0,0,0,0,0,0,0,6106448,5587724,6530869,7463543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
17,0,0,0,0,0,0,0,0,6034932,5588959,6531263,7460061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
