MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
59.35100174,-562722,-538702,-976960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.59700012,-568543,-539428,-971769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.79000092,-571004,-535278,-975332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59.98199844,-564692,-538995,-974993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.22800064,-562522,-539804,-981022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.43500137,-561432,-536771,-976601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.65399933,-560666,-540493,-979644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60.88499832,-563054,-539343,-971333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.06700134,-564468,-538957,-971280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.27099991,-569230,-541076,-976913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.51900101,-561661,-538059,-988074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.72399902,-564278,-535299,-977624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61.91699982,-563564,-534908,-980274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.16600037,-565537,-540176,-975637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.38499832,-565978,-537088,-976592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.61700058,-569322,-535550,-975777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.83599854,-562083,-530422,-983463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62.99100113,-561306,-537430,-975973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.23500061,-563168,-535228,-975334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.45399857,-562835,-534856,-970896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.64699936,-563309,-538409,-965188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63.85599899,-567932,-533431,-977991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.10299683,-561402,-529440,-979279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.33399963,-567798,-535468,-975581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.55400085,-556603,-534239,-977263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.77200317,-560320,-536320,-971443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.92700195,-564903,-538345,-974419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.15599823,-568590,-536198,-975447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.40499878,-558744,-534666,-977060,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.59999847,-562166,-535760,-976277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65.79000092,-562545,-533519,-978401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.03500366,-560256,-538938,-975220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.2539978,-564811,-535625,-963453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.48999786,-563575,-533820,-976196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.69400024,-563761,-535131,-980118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66.86499786,-561162,-531719,-982173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.09400177,-554678,-534348,-971111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.32700348,-561116,-540352,-970976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.51799774,-562046,-539284,-975252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.72499847,-564907,-532335,-967412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67.97399902,-565106,-531705,-972643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.20500183,-556439,-532066,-979291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.42199707,-560341,-534228,-968716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.61799622,-558969,-536832,-972077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68.8010025,-555199,-535415,-966981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.01999664,-563735,-536289,-965293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.26300049,-564460,-532208,-974366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.45700073,-560710,-530606,-977044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.66400146,-562725,-539407,-969592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69.90799713,-557168,-531004,-972181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.11299896,-558919,-532852,-969255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.34700012,-561154,-537258,-969166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.57900238,-565283,-534141,-963893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.73500061,-557701,-533178,-971340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70.96700287,-563105,-535721,-972410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.1969986,-561509,-531596,-967844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.39099884,-559630,-534868,-966373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.59700012,-561809,-532663,-963286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71.84600067,-559831,-534800,-969487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.03900146,-557476,-533701,-976119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.27100372,-557512,-528712,-974285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.51999664,-553938,-531233,-965430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.68499756,-554405,-536235,-976894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72.90299988,-558027,-532601,-970966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.15200043,-560557,-532719,-958487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.32800293,-558979,-531630,-972619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.54799652,-560902,-531025,-974672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73.7440033,-554605,-531841,-968294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.01399994,-558914,-535113,-970933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.22100067,-554201,-533624,-961232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.44200134,-556701,-537081,-968726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.59600067,-562463,-531578,-971954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.83899689,-554943,-528869,-972805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
