MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729187,2582147,2497179,2715834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729187,2582147,2497179,2715834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730425,2582386,2497372,2714411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729187,2582147,2497179,2715834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730425,2582386,2497372,2714411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730520,2582313,2496740,2714652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729187,2582147,2497179,2715834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730425,2582386,2497372,2714411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730520,2582313,2496740,2714652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730081,2582258,2496483,2714294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,2729125,2580715,2495473,2713661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730000,2580563,2497929,2712184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730597,2581543,2496512,2713889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2728806,2581466,2496865,2713149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729607,2582308,2497577,2712992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2729187,2582147,2497179,2715834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730425,2582386,2497372,2714411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730520,2582313,2496740,2714652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2730081,2582258,2496483,2714294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2731348,2581887,2497137,2715169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
