MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
46.75400162,-5768873,-1113626,-924958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.97200012,-5922101,-1147072,-911157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.17599869,-6065492,-1131858,-906516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.40000153,-5943808,-1134454,-909623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47.59600067,-5961464,-1138665,-932505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.06499863,-6095912,-1131733,-945067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2480011,-6043957,-1116181,-921981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.49499893,-6090533,-1122121,-923720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.70100021,-6149282,-1136248,-903992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.91999817,-6071304,-1129841,-909294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.14300156,-6116205,-1142718,-921232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.33800125,-6275947,-1131676,-918231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.55699921,-6219175,-1112363,-914667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.8030014,-6279587,-1134268,-935956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.99700165,-6356810,-1120671,-925681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.19100189,-6260770,-1131986,-923794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.44900131,-6212596,-1120236,-923157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.65599823,-6295718,-1148945,-930839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.88899994,-6417260,-1129952,-921820,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.08200073,-6400536,-1126543,-925663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.27700043,-6381324,-1128818,-923701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.46900177,-6481683,-1126373,-940575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.74200058,-6404794,-1145455,-945921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.93399811,-6341467,-1124922,-922160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.11500168,-6460515,-1127805,-930306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.60599899,-6502371,-1140180,-915442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52.79800034,-6496817,-1128025,-908425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.00500107,-6482338,-1133146,-908804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
