Protocol file: C:\HelixGen\Protocols\c219.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
36,-115352,-115749,-125980,-113169,-850720,-1232087,-2366538,-3144246,-657866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
37,-112462,-116391,-128729,-111188,-859708,-1226607,-2384911,-3171631,-659426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
38,-110397,-113858,-127204,-112987,-865588,-1233636,-2405267,-3210778,-655721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
39,-112988,-114854,-125808,-110522,-866192,-1234493,-2429840,-3241945,-660481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
40,-113131,-113667,-125806,-111069,-866591,-1240059,-2438973,-3254458,-656176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
41,-113316,-112020,-126439,-113045,-867833,-1247414,-2449125,-3286078,-653378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
42,-117255,-113529,-124716,-115861,-870071,-1257390,-2464548,-3305820,-653675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
43,-116285,-116526,-123224,-111148,-872249,-1258040,-2475649,-3320326,-654851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
44,-112048,-113776,-124530,-113224,-875709,-1258130,-2482779,-3335809,-654462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
45,-113787,-112927,-126624,-113272,-879082,-1262565,-2491481,-3375703,-653002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
