2018-11-06 08:35:09.6608 DEBUG ----- Starting -----
2018-11-06 08:35:22.0937 DEBUG Opening results file to: ..\..\Logs\Measurement\2018_11_06_08_35_22\Temperature Log.csv
2018-11-06 08:35:22.0937 DEBUG Protocol: Execute step: HelixGen.Model.MeltCurveStep line: 20
2018-11-06 08:35:22.1117 DEBUG gotoTempAndStay: temperature = 45 time = 60 ms
2018-11-06 08:35:22.1216 DEBUG Setting the temperature to 45
2018-11-06 08:35:22.1536 DEBUG Got a _model_PCRCyclerSetpointTemperature; temperature: 45
2018-11-06 08:35:22.2493 DEBUG DevicePCRCycler SetToAppropriateBand, finding a new band, curTemp is 25.767 to temp is 95
2018-11-06 08:35:22.3770 DEBUG DevicePCRCycler SelectThermalParameters, found a plan; curTemp is 25.767 making settings for the temperature range: From: 0-90 To: 90-110
2018-11-06 08:35:22.4348 DEBUG SetChannelSettings; Channel: 4 OvershootOffset: 1, OvershootDuration: 1 P: 40 I: 0.05 D: 400
2018-11-06 08:35:22.4727 DEBUG TEC; setting the overshootDuration to 1
2018-11-06 08:35:22.4887 DEBUG TEC; setting the overshootoffset to 1
2018-11-06 08:35:22.5046 DEBUG TEC; setting the overshootDuration to 1
2018-11-06 08:35:22.5525 DEBUG TEC; setting the overshootoffset to 1
2018-11-06 08:35:29.6705 DEBUG At temperature.
2018-11-06 08:35:29.6705 DEBUG gotoTempAndStay: at temperature = 45, sleeping ...
2018-11-06 08:35:29.7123 DEBUG Meltcurve: setting the ramprate to 0.1
2018-11-06 08:35:29.7592 DEBUG Setting the temperature to 85
2018-11-06 08:35:29.7752 DEBUG Got a _model_PCRCyclerSetpointTemperature; temperature: 85
2018-11-06 08:35:29.7921 DEBUG Opening melt results file to: ..\..\Logs\Measurement\2018_11_06_08_35_22\Melt Curve logging.csv
2018-11-06 08:35:43.3758 DEBUG In meltcurve, curTemp = 44.9959983825684
2018-11-06 08:35:43.5514 DEBUG In meltcurve, curTemp = 45.0169982910156
2018-11-06 08:35:44.5706 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-06 08:35:44.6215 DEBUG In meltcurve, curTemp = 45.1279983520508
2018-11-06 08:35:44.6863 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7013 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7172 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7332 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7491 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7651 DEBUG In meltcurve, curTemp = 45.1389999389648
2018-11-06 08:35:44.7980 DEBUG In meltcurve, curTemp = 45.148998260498
2018-11-06 08:35:44.8619 DEBUG In meltcurve, curTemp = 45.148998260498
2018-11-06 08:35:44.9097 DEBUG In meltcurve, curTemp = 45.1599998474121
2018-11-06 08:35:44.9257 DEBUG In meltcurve, curTemp = 45.1599998474121
2018-11-06 08:35:44.9895 DEBUG In meltcurve, curTemp = 45.1689987182617
2018-11-06 08:35:45.1491 DEBUG In meltcurve, curTemp = 45.1790008544922
2018-11-06 08:35:46.1684 DEBUG opticReadCmd, got an exception: 操作已超时。
2018-11-06 08:35:46.2043 DEBUG In meltcurve, curTemp = 45.2919998168945
2018-11-06 08:35:46.2362 DEBUG In meltcurve, curTemp = 45.2919998168945
2018-11-06 08:35:46.2523 DEBUG In meltcurve, curTemp = 45.2919998168945
2018-11-06 08:35:46.2683 DEBUG In meltcurve, curTemp = 45.2919998168945
