Protocol file: C:\HelixGen\Protocols\Protocol_pcr - Pauls.xml
Run date.time: 5/17/2017 12:35:01 PM
Time, Elapsed Seconds, SPREP Thermal Setpoint, SPREP Thermal C, PCR TEC1 Setpoint, PCR TEC1 C, PCR TEC1 PWR, PRC TE1C Amps,PCR TEC2 Setpoint, PCR TEC2 C, PCR TEC2 PWR, PRC TEC2 Amps
"2017-05-17 12:35:01.661",0,25,26.219,25,72.262,0,0,25,71.945,0,0
"2017-05-17 12:35:02.141",0.4800115,25,26.219,95,71.226,100,4.552,95,71.431,0,0
"2017-05-17 12:35:02.828",1.1670001,25,26.219,95,70.563,100,4.058,95,70.44,100,4.093
"2017-05-17 12:35:03.588",1.9275619,25,26.219,95,71.33,100,3.934,95,71.396,100,3.97
"2017-05-17 12:35:04.087",2.4263299,25,26.219,95,73.652,100,3.846,95,73.456,100,3.899
"2017-05-17 12:35:04.553",2.8927435,25,26.219,95,76.45,100,3.775,95,76.184,100,3.828
"2017-05-17 12:35:05.022",3.3616272,25,26.219,95,79.725,100,3.723,95,78.755,100,3.758
"2017-05-17 12:35:05.527",3.8667419,25,26.219,95,83.343,100,3.67,95,82.178,100,3.705
"2017-05-17 12:35:05.991",4.3305298,25,26.219,95,87.063,100,3.617,95,85.8,100,3.652
"2017-05-17 12:35:06.523",4.8622959,25,26.219,95,90.916,100,3.564,95,89.504,100,3.599
"2017-05-17 12:35:06.989",5.3284986,25,26.219,95,93.931,0,0,95,93.206,0,0
"2017-05-17 12:35:07.530",5.8694528,25,26.219,95,98.306,0,0,95,96.803,0,0
"2017-05-17 12:35:07.998",6.3372752,25,26.219,95,100.996,0,0,95,99.693,0,0
"2017-05-17 12:35:08.531",6.8706389,25,26.219,95,102.686,0,0,95,101.537,0,0
"2017-05-17 12:35:09.000",7.3390053,25,26.219,95,103.504,0,0,95,102.507,0,0
"2017-05-17 12:35:09.522",7.8611074,25,26.219,95,103.731,0,0,95,102.833,0,0
"2017-05-17 12:35:09.985",8.3245343,25,26.219,95,103.603,0,0,95,102.708,0,0
"2017-05-17 12:35:10.534",8.873477,25,26.219,95,103.084,0,0,95,102.268,0.3,0
"2017-05-17 12:35:10.996",9.3354992,25,26.218,95,102.441,6.3,0.247,95,101.631,15,0.582
"2017-05-17 12:35:11.780",10.1189595,25,26.218,95,101.353,22.5,0.899,95,100.477,24.3,0.952
"2017-05-17 12:35:12.455",10.7943218,25,26.218,95,100.554,19.2,0.582,95,99.842,14.3,0.564
"2017-05-17 12:35:13.047",11.386204,25,26.218,95,100.07,8.8,0.335,95,99.443,11.6,0.441
