MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
48.5859985351563,-2914838,-2502710,-1870355,-3639119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.5509986877441,-2898804,-2504145,-1864066,-3634281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.0909996032715,-2951357,-2494619,-1863964,-3618766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.7620010375977,-2906461,-2503693,-1869502,-3604702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.3699989318848,-2926612,-2493661,-1862092,-3622816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.1629981994629,-2908312,-2505578,-1860540,-3616697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.6349983215332,-2897477,-2498019,-1862887,-3607723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.4500007629395,-2904888,-2499952,-1859364,-3607090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49.9080009460449,-2920582,-2490432,-1847957,-3610705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50.0660018920898,-2896778,-2493677,-1855859,-3605480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
