Protocol file: C:\HelixGen\Protocols\CYP2C19.xml
PCR Cycle#, Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4,Sensor Temp 1, Sensor Temp 2, Sensor Temp 3, Sensor Temp 4, Sensor Temp 5, Sensor Temp 6
33,-1084899,-1170460,-896543,-1630911,-1560298,-950684,-738956,-696763,-445929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,-1094788,-1167437,-893255,-1629883,-1558552,-956430,-743525,-705072,-448549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,-1091768,-1187289,-894765,-1630703,-1578270,-980880,-759257,-714898,-446470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,-1101284,-1173916,-901126,-1649531,-1583967,-1003666,-766616,-728888,-446454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,-1096016,-1170757,-907885,-1643650,-1599840,-1013762,-777848,-739046,-452083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,-1097252,-1178437,-905152,-1647444,-1591635,-1038279,-784736,-749952,-447145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,-1098455,-1201278,-906247,-1661034,-1605165,-1044162,-795883,-758431,-448966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,-1107225,-1184185,-916762,-1677892,-1591243,-1066545,-813665,-766531,-443979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,-1110341,-1194875,-909575,-1689098,-1603603,-1077766,-820919,-778670,-446748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,-1107661,-1191114,-917792,-1679706,-1605654,-1092565,-834294,-786343,-446763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,-1111806,-1184949,-912083,-1685571,-1613542,-1091630,-837484,-795736,-440301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,-1115807,-1199131,-921339,-1685558,-1610520,-1109913,-847382,-798670,-444981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,-1113752,-1207152,-921020,-1701903,-1607527,-1117208,-858148,-805653,-447028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
