MeltCurveTemperature,Cartridge 1 Channel 1, Cartridge 1 Channel 2, Cartridge 1 Channel 3, Cartridge 1 Channel 4,Cartridge 2 Channel 1, Cartridge 2 Channel 2, Cartridge 2 Channel 3, Cartridge 2 Channel 4,Cartridge 3 Channel 1, Cartridge 3 Channel 2, Cartridge 3 Channel 3, Cartridge 3 Channel 4,Cartridge 4 Channel 1, Cartridge 4 Channel 2, Cartridge 4 Channel 3, Cartridge 4 Channel 4,Cartridge 5 Channel 1, Cartridge 5 Channel 2, Cartridge 5 Channel 3, Cartridge 5 Channel 4,Cartridge 6 Channel 1, Cartridge 6 Channel 2, Cartridge 6 Channel 3, Cartridge 6 Channel 4
45.3019981384277,0,0,0,0,0,0,0,0,571800,553821,542210,506444,0,0,0,0,0,0,0,0,0,0,0,0
46.0499992370605,0,0,0,0,0,0,0,0,526433,521635,520984,465241,0,0,0,0,0,0,0,0,0,0,0,0
46.2280006408691,0,0,0,0,0,0,0,0,498395,497374,493706,449650,0,0,0,0,0,0,0,0,0,0,0,0
46.4259986877441,0,0,0,0,0,0,0,0,484693,475020,474030,432835,0,0,0,0,0,0,0,0,0,0,0,0
46.6310005187988,0,0,0,0,0,0,0,0,471567,467109,461172,426433,0,0,0,0,0,0,0,0,0,0,0,0
46.8339996337891,0,0,0,0,0,0,0,0,461964,459188,456759,420818,0,0,0,0,0,0,0,0,0,0,0,0
46.9749984741211,0,0,0,0,0,0,0,0,449014,455255,448978,415630,0,0,0,0,0,0,0,0,0,0,0,0
47.0870018005371,0,0,0,0,0,0,0,0,444127,453597,442166,409202,0,0,0,0,0,0,0,0,0,0,0,0
47.1860008239746,0,0,0,0,0,0,0,0,441517,451116,441040,407549,0,0,0,0,0,0,0,0,0,0,0,0
47.2890014648438,0,0,0,0,0,0,0,0,437116,452833,441293,407747,0,0,0,0,0,0,0,0,0,0,0,0
47.390998840332,0,0,0,0,0,0,0,0,432763,448955,433333,397681,0,0,0,0,0,0,0,0,0,0,0,0
47.5060005187988,0,0,0,0,0,0,0,0,430952,449305,437083,392710,0,0,0,0,0,0,0,0,0,0,0,0
